Question,Answer
What is included in the Primacol Decorative Moonlight Paint Kit?,The Primacol Decorative Moonlight Paint Kit includes Decobase paint and Moonlight paint.
What are the key features of the Moonlight paint product?,Moonlight paint shimmers with hundreds of particles in either silver or gold  depending on the chosen option. Due to special structural additives  Moonlight paint creates both shading and a three-dimensional effect  evoking the impression of a full moon.
Where can I find the Safety Data Sheet (SDS) for the Decobase product?,The SDS for the Decobase product is available at SDS Decobase.
How long does it take to receive the Primacol Decorative Moonlight Paint Kit for large orders requiring pallet shipping?,For large orders requiring pallet shipping  the standard delivery time may extend by approximately 2 days.
How much does the Moonlight color card cost?,The Moonlight color card costs €2.99.
Where can I find the Safety Data Sheet (SDS) for the Primacol Decorative Moonlight Paint Kit?,The SDS for the Moonlight paint product is available at SDS Moonlight.
What should the substrate be like before applying the Primacol Decorative Moonlight Paint Kit?,The substrate should be clean  degreased  even  stable and uncracked.
What is the second step in applying the Primacol Decorative Moonlight Paint Kit?,"Second step: MOONLIGHT - Before use  mix Moonlight paint thoroughly but gently. Do not use high-speed mixers as this may damage particles contained in the product. Apply a small amount of the product with a flat brush in a criss-cross movements to an area of about 0.5m² at a time. Then gently spread the particles contained in the paint in different directions  forming irregular clusters  while trying not to leave brush marks. Repeat this process until the entire surface is covered  making sure to connect each area using the ""wet-on-wet"" method. The final effect depends mostly on the creativity of the painter. The product can also be applied in vertical or horizontal movements. Once the entire decorated surface is covered  leave it to dry for at least 24 hours."
How do I clean the tools used for the Primacol Decorative Moonlight Paint Kit?,The tools used for the Primacol Decorative Moonlight Paint Kit can be cleaned with water and detergent.
Where can I find the instruction manual for the Moonlight paint product?,The instruction manual for the Moonlight paint product is available at Instruction.
What is required to use the Moonlight product?,Agreement to the Terms of Service and Privacy Policy is required to use the Moonlight product.
How long does it take to receive the Primacol Decorative Moonlight Paint Kit when shipping to countries outside Europe?,Shipping to countries outside Europe usually takes 4 to 10 business days.
What type of primer should I use if the surface is highly absorbent or not equally absorbent?,Surfaces that are highly absorbent (e.g. fresh plaster)  or those that are not equally absorbent  should first be primed with a suitable primer. We recommend our PRIMACOL® DECORATIVE primer  which is a universal product and will work for most surfaces.
Are the estimated delivery times for the Primacol Decorative Moonlight Paint Kit guaranteed?,The estimated delivery times provided are subject to change due to unforeseen events beyond our control.
Where can I purchase a flat brush for the Primacol Decorative Moonlight Paint Kit?,You can purchase a flat brush for the Primacol Decorative Moonlight Paint Kit at buy here.
How does Moonlight paint's semi-transparent nature affect the appearance of surfaces?,As a semi-transparent product  Moonlight paint allows the underlying color to show through  adding depth and dimension to any surface.
What is the Moonlight decorative paint product from Primacol?,The Moonlight decorative paint product from Primacol provides information about the product  including safety and manufacturer details  as well as instructions and accessories for applying the paint. The website also features customer reviews and a color card for the Moonlight product.
Where can I find the Technical Data Sheet (TDS) for the Moonlight product?,The TDS for the Moonlight product is available at TDS Moonlight.
What is the first step in applying the Primacol Decorative Moonlight Paint Kit?,First step: DECOBASE - Paint the surface with Decobase paint to create a base layer for further work. Moonlight is a semi-transparent product so be sure to cover the wall with Decobase thoroughly. Leave the wall to dry completely. If necessary  apply two coats of Decobase.
Who is the manufacturer of the Moonlight and Decobase products?,The manufacturer of the Moonlight and Decobase products is Unicell International sp. z o.o.  located at Supraslska 25  16-010 Wasilkow  Poland. The contact telephone number is +48 667 950 839  and the email address of the responsible person is shop@primacol.com.
How can I be sure that the Moonlight product samples are of high quality?,The Moonlight product samples are handmade  so you can be sure that the samples you receive are as authentic and true to the final result as possible.
